1,1,0,5,20
2,1,1,4,22
3,1,2,5,20
4,1,3,4,22
5,1,4,5,20
6,1,5,4,22
7,1,6,5,20
8,1,7,4,22
9,1,8,5,20
10,1,9,4,22
11,2,0,5,20
12,2,1,4,22
13,2,2,5,20
14,2,3,4,22
15,2,4,5,20
16,2,5,4,22
17,2,6,5,20
18,2,7,4,22
19,2,8,5,20
20,2,9,4,22
21,3,0,5,20
22,3,1,4,22
23,3,2,5,20
24,3,3,4,22
25,3,4,5,20
26,3,5,4,22
27,3,6,5,20
28,3,7,4,22
29,3,8,5,20
30,3,9,4,22
31,4,0,5,20
32,4,1,4,22
33,4,2,5,20
34,4,3,4,22
35,4,4,5,20
36,4,5,4,22
37,4,6,5,20
38,4,7,4,22
39,4,8,5,20
40,4,9,4,22
41,5,0,5,20
42,5,1,4,22
43,5,2,5,20
44,5,3,4,22
45,5,4,5,20
46,5,5,4,22
47,5,6,5,20
48,5,7,4,22
49,5,8,5,20
50,5,9,4,22
51,6,0,5,20
52,6,1,4,22
53,6,2,5,20
54,6,3,4,22
55,6,4,5,20
56,6,5,4,22
57,6,6,5,20
58,6,7,4,22
59,6,8,5,20
60,6,9,4,22
61,7,0,5,20
62,7,1,4,22
63,7,2,5,20
64,7,3,4,22
65,7,4,5,20
66,7,5,4,22
67,7,6,5,20
68,7,7,4,22
69,7,8,5,20
70,7,9,4,22
71,8,0,5,20
72,8,1,4,22
73,8,2,5,20
74,8,3,4,22
75,8,4,5,20
76,8,5,4,22
77,8,6,5,20
78,8,7,4,22
79,8,8,5,20
80,8,9,4,22
81,9,0,5,20
82,9,1,4,22
83,9,2,5,20
84,9,3,4,22
85,9,4,5,20
86,9,5,4,22
87,9,6,5,20
88,9,7,4,22
89,9,8,5,20
90,9,9,4,22
91,10,0,5,20
92,10,1,4,22
93,10,2,5,20
94,10,3,4,22
95,10,4,5,20
96,10,5,4,22
97,10,6,5,20
98,10,7,4,22
99,10,8,5,20
100,10,9,4,22
